"","untreated3","untreated4","treated2","treated3"
"FBgn0000003",0,0,0,0.897191860483458
"FBgn0000008",87.0464927318522,69.2650174541337,86.0676318449569,62.8034302338421
"FBgn0000014",0,0,0,0
"FBgn0000015",1.145348588577,1.97900049868953,0,0
"FBgn0000017",4082.02236968844,3116.92578543602,3004.54278440577,2991.23766285185
"FBgn0000018",280.610404201366,306.745077296878,292.43434001866,276.335093028905
"FBgn0000022",0,0,0,0
"FBgn0000024",3.43604576573101,2.9685007480343,6.84628889675793,4.48595930241729
"FBgn0000028",0,0,0.978041270965419,0.897191860483458
"FBgn0000032",704.389381974856,664.944167559683,680.716724591932,679.174238385978
"FBgn0000036",0,0,0,0.897191860483458
"FBgn0000037",10.308137297193,4.94750124672384,13.6925777935159,15.2522616282188
"FBgn0000039",0,0,0.978041270965419,0.897191860483458
"FBgn0000042",52548.5932439129,52642.402765391,74427.9626791974,74614.0638852463
"FBgn0000043",18333.5948573521,18167.2245779699,30731.0347750044,30813.1572564439
"FBgn0000044",17.180228828655,12.863503241482,27.3851555870317,14.3550697677353
"FBgn0000045",1.145348588577,4.94750124672384,3.91216508386168,5.38315116290075
"FBgn0000046",14.889531651501,13.8530034908267,30.319279399928,11.663494186285
"FBgn0000047",4.58139435430801,3.95800099737907,8.80237143868877,3.58876744193383
"FBgn0000052",1860.04610784905,1923.58848472623,1802.53006238927,1715.43083724437
"FBgn0000053",1467.19154196714,1558.46289271801,1911.09264346643,1856.28995934028
"FBgn0000054",509.680121916766,482.876121680246,464.569603708574,479.99764535865
"FBgn0000055",0,0,0,0
"FBgn0000057",509.680121916766,533.34063439683,540.856822843877,528.446005824757
"FBgn0000061",1.145348588577,2.9685007480343,0.978041270965419,0.897191860483458
"FBgn0000063",251.976689486941,266.175567073742,331.555990857277,315.811534890177
"FBgn0000064",5737.0510801822,5494.69488461149,6788.58446177097,7092.30165712174
"FBgn0000071",84.7557955546982,91.0340229397186,500.757130734294,532.931965127174
"FBgn0000075",2.290697177154,1.97900049868953,0.978041270965419,0.897191860483458
"FBgn0000077",144.313922160702,186.026046876816,162.35485098026,175.849604654758
"FBgn0000078",28.6337147144251,36.6115092257564,16.6267016064121,16.1494534887023
"FBgn0000079",219.906929006784,190.97354812354,84.111549303026,98.6911046531804
"FBgn0000083",4127.83631323152,4491.3416317759,4324.89850020908,4442.89409311409
"FBgn0000084",1469.48223914429,1499.09287775732,1336.00437613876,1320.66641863165
"FBgn0000092",8.01744012003902,9.89500249344767,11.736495251585,11.663494186285
"FBgn0000094",24.052320360117,7.91600199475814,15.6486603354467,15.2522616282188
"FBgn0000097",2533.51107793233,2048.26551614367,2288.61657405908,2166.71834306755
"FBgn0000099",3.43604576573101,0.989500249344767,0.978041270965419,0
"FBgn0000100",20153.5537646009,22454.7291583808,19635.1565559018,18642.7496689858
"FBgn0000108",49.2499893088111,37.6010094751012,41.0777333805476,41.2708255822391
"FBgn0000109",79.0290526118132,110.824027926614,67.4848476966139,77.1585000015774
"FBgn0000114",4.58139435430801,0.989500249344767,1.95608254193084,3.58876744193383
"FBgn0000115",388.273171527604,424.495606968905,434.250324308646,480.894837219134
"FBgn0000116",345.895273750255,284.976071811293,915.446629623632,788.63164536496
"FBgn0000117",8056.38197205063,8044.63702717296,9238.57784553935,9162.12327925708
"FBgn0000119",508.534773328189,518.498130656658,471.415892605332,453.97908140463
"FBgn0000121",6.87209153146201,3.95800099737907,5.86824762579251,4.48595930241729
"FBgn0000137",0,0,0,0
"FBgn0000139",482.191755790918,566.983642874552,398.062797282925,418.091406985292
"FBgn0000140",653.994044077468,578.857645866689,777.542810417508,631.623069780355
"FBgn0000142",1584.01709800199,1322.96183337395,1393.70881112572,1436.40416863402
"FBgn0000146",960.947465816105,1016.21675607708,1393.70881112572,1322.46080235262
"FBgn0000147",243.959249366901,297.839575052775,385.348260760375,345.418866286132
"FBgn0000150",6208.93469867593,7104.61179029543,8215.54667610952,7724.82191876258
"FBgn0000152",374.52898846468,367.104592506909,409.799292534511,439.624011636895
"FBgn0000153",17.180228828655,29.685007480343,17.6047428773775,19.7382209306361
"FBgn0000157",0,0,0,0
"FBgn0000158",3.43604576573101,2.9685007480343,5.86824762579251,3.58876744193383
"FBgn0000163",869.319578729945,675.828670302476,686.584972217724,631.623069780355
"FBgn0000166",9.16278870861602,5.9370014960686,10.7584539806196,3.58876744193383
"FBgn0000171",6557.12066960334,5116.70578936179,5602.22040008992,5230.62854661856
"FBgn0000173",975.836997467606,1222.03280794079,1184.40797913912,1177.1157209543
"FBgn0000179",1.145348588577,0,0,1.79438372096692
"FBgn0000180",24.052320360117,18.8005047375506,29.3412381289626,22.4297965120865
"FBgn0000181",9782.42229503618,10856.7967358108,9557.41929987407,9525.48598275288
"FBgn0000182",2.290697177154,4.94750124672384,3.91216508386168,2.69157558145038
"FBgn0000183",1953.96469211237,1939.42048871574,1949.23625303408,1923.57934887653
"FBgn0000210",1388.16248935533,1079.54477203514,1390.77468731283,1174.42414537285
"FBgn0000212",2483.11574003494,2248.14456651131,2634.84318398084,2747.20147680035
"FBgn0000216",0,0.989500249344767,0,0
"FBgn0000221",163.784848166511,192.95254862223,151.59639699964,143.550697677353
"FBgn0000228",629.941723717351,580.836646365378,600.517340372767,576.894366290864
"FBgn0000229",647.121952546006,618.437655840479,559.43960699222,523.96004652234
"FBgn0000233",2.290697177154,3.95800099737907,0.978041270965419,3.58876744193383
"FBgn0000239",1871.49959373482,1834.5334622852,1875.88315771167,1727.09433143066
"FBgn0000241",4.58139435430801,9.89500249344767,11.736495251585,1.79438372096692
"FBgn0000242",116.825556034854,101.918525682511,131.057530309366,114.840558141883
"FBgn0000244",489.06384732238,362.157091260185,311.017124167003,331.96098837888
"FBgn0000246",107.662767326238,81.1390204462709,101.716292180404,104.971447676565
"FBgn0000247",2367.43553258866,1996.81150317774,2015.74305945973,1921.78496515557
"FBgn0000250",1720.31358004266,1725.68843485727,1645.06541776383,1720.81398840727
"FBgn0000251",2.290697177154,0.989500249344767,1.95608254193084,1.79438372096692
"FBgn0000253",6472.36487404864,6482.21613345757,7080.04076051867,7340.82380247566
"FBgn0000256",2043.30188202137,1782.08994906993,1381.97231587414,1389.75019188888
"FBgn0000257",604.744054768657,605.574152598998,630.836619772695,603.810122105368
"FBgn0000258",624.214980774466,578.857645866689,625.946413417868,573.30559884893
"FBgn0000259",1311.42413392067,1334.83583636609,1270.47561098408,1356.55409305099
"FBgn0000261",1695.11591109396,1498.10337750798,1329.158087242,1479.46937793722
"FBgn0000273",1830.26704454605,1452.58636603812,1446.52303975785,1458.8339651461
"FBgn0000276",29.7790633030021,27.7060069816535,41.0777333805476,49.3455523265902
"FBgn0000277",17.180228828655,19.7900049868953,19.5608254193084,14.3550697677353
"FBgn0000278",34.3604576573101,36.6115092257564,21.5169079612392,25.1213720935368
"FBgn0000279",56.1220808402731,62.3385157087203,82.1554667610952,68.1865813967428
"FBgn0000280",1.145348588577,0,0.978041270965419,0
"FBgn0000281",1.145348588577,0,0.978041270965419,0
"FBgn0000283",2623.99361642991,2449.0131171283,2572.24854263905,2402.6798023747
"FBgn0000286",451.267343899339,380.957595997735,286.566092392868,313.119959308727
"FBgn0000287",0,0.989500249344767,0,1.79438372096692
"FBgn0000289",2811.83078495654,2607.33315702346,2594.74349187126,2399.98822679325
"FBgn0000299",34981.2365923188,30165.9046015246,54953.204891734,46738.3127800253
"FBgn0000303",1.145348588577,1.97900049868953,0.978041270965419,2.69157558145038
"FBgn0000307",1304.55204238921,1039.96476206135,1055.30653137169,1063.1723546729
"FBgn0000308",10542.9337578513,11392.1163707063,11531.1065846823,12279.8649944371
"FBgn0000313",42.3778977773491,41.5590104724802,44.0118571934439,45.7567848846564
"FBgn0000316",0,0.989500249344767,1.95608254193084,0
"FBgn0000317",1074.33697608523,969.710244357872,1059.21869645555,921.416040716512
"FBgn0000318",537.168488042614,699.57667628675,737.443118307926,853.229459319769
"FBgn0000319",10727.3348806122,10262.1070859546,11351.1469908247,10330.2670816065
"FBgn0000320",1.145348588577,0.989500249344767,1.95608254193084,0
"FBgn0000326",200.436003000975,174.152043884679,218.103203425288,201.868168608778
"FBgn0000330",182.110425583743,173.162543635334,161.376809709294,166.877686049923
"FBgn0000337",24.052320360117,22.7585057349296,17.6047428773775,17.9438372096692
"FBgn0000338",1594.32523529919,1240.83331267834,1474.88623661585,1483.95533723964
"FBgn0000339",364.220851167487,409.653103228734,362.85331152817,385.792500007887
"FBgn0000346",53.8313836631191,45.5170114698593,86.0676318449569,101.382680234631
"FBgn0000351",24.052320360117,27.7060069816535,26.4071143160663,30.5045232564376
"FBgn0000352",682.627758791893,578.857645866689,648.441362650073,613.679232570686
"FBgn0000355",0,0,0,0
"FBgn0000357",2.290697177154,2.9685007480343,1.95608254193084,3.58876744193383
"FBgn0000358",0,0,0,0
"FBgn0000359",1.145348588577,0,0,0
"FBgn0000360",0,1.97900049868953,0.978041270965419,0
"FBgn0000363",1.145348588577,3.95800099737907,1.95608254193084,1.79438372096692
"FBgn0000370",7729.95762430619,8372.16160970607,7616.00737700772,7662.91568038922
"FBgn0000376",988.435831941953,994.447750591491,1088.55993458451,961.789674438267
"FBgn0000377",697.517290443394,666.923168058373,694.409302385447,749.155203503688
"FBgn0000382",651.703346900314,551.151638885035,516.405791069741,507.810593033637
"FBgn0000384",438.668509424992,397.779100236596,432.294241766715,432.446476753027
"FBgn0000392",697.517290443394,666.923168058373,1048.46024247493,942.051453507631
"FBgn0000394",503.953378973881,516.519130157968,424.469911598992,474.61449419575
"FBgn0000395",515.406864859651,374.031094252322,306.126917812176,301.456465122442
"FBgn0000404",1761.54612923143,1656.42341740314,1808.39831001506,1806.94440701369
"FBgn0000405",1425.95899277837,1285.36082389885,2189.83440569157,1992.66312213376
"FBgn0000406",304.662724561483,400.747600984631,62.5946413417868,87.9248023273789
"FBgn0000409",2919.49355228278,3465.22987320537,3142.44660361189,3199.38617448401
